,DestRaw,Dest,geocoder_results,latlong
730,"CORNELLSVILLE,NY","CORNELLSVILLE, NY","<[OK] Google - Geocode [Hornellsville, NY, USA]>","[42.3284854, -77.7108686]"
731,MONT-ADAM-MA,"MONT ADAM, MA",,
732,MILLWANKE,"MILLWAUKE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","[43.0389025, -87.9064736]"
733,LOUISVILLE KY,"LOUISVILLE, KY","<[OK] Google - Geocode [Louisville, KY, USA]>","[38.2526647, -85.7584557]"
734,BUTTE CITY MT,"BUTTE CITY, MT","<[OK] Google - Geocode [Butte, MT, USA]>","[46.0038232, -112.5347775]"
735,FLOWER TOWN,FLOWER TOWN,,
736,PORTLAND,PORTLAND,"<[OK] Google - Geocode [Portland, OR, USA]>","[45.5122308, -122.6587185]"
737,PORTCHESTER,PORTCHESTER,"<[OK] Google - Geocode [Port Chester, NY 10573, USA]>","[41.0017643, -73.66568339999999]"
738,WASHINGTON D.C.,"WASHINGTON, D.C.","<[OK] Google - Geocode [Washington, DC, USA]>","[38.9071923, -77.0368707]"
739,PENNSY;LVANI,PENNSYLVANIA,"<[OK] Google - Geocode [Pennsylvania, USA]>","[41.2033216, -77.1945247]"
740,PENNSYLVANNIA,PENNSYLVANIA,"<[OK] Google - Geocode [Pennsylvania, USA]>","[41.2033216, -77.1945247]"
741,GLAVESTON-PA,"GLAVESTON, PA",,
742,WESTERLY MA,"WESTERLY, MA",,
743,BRANT-NY,"BRANT, NY","<[OK] Google - Geocode [Brant, NY, USA]>","[42.5883549, -79.0176461]"
744,OXFORD,OXFORD,"<[OK] Google - Geocode [Oxford, KS 67119, USA]>","[37.2741908, -97.1689296]"
745,SAINT THOMAS CANADA,"SAINT THOMAS, CANADA","<[OK] Google - Geocode [St. Thomas, ON, Canada]>","[42.7777214, -81.18265269999999]"
746,PATERSON-NY,"PATERSON, NY","<[OK] Google - Geocode [Patterson, NY 12563, USA]>","[41.513264, -73.60482879999999]"
747,YOHUGSTON-PA,"YOHUGSTON, PA","<[OK] Google - Geocode [Youngstown, PA 15650, USA]>","[40.2797927, -79.36559129999999]"
748,BRADFORD PA.,"BRADFORD, PA","<[OK] Google - Geocode [Bradford, PA 16701, USA]>","[41.9564953, -78.649163]"
749,CARLEROI-PA,"CARLEROI, PA","<[OK] Google - Geocode [Charleroi, PA 15022, USA]>","[40.1378499, -79.89810349999999]"
750,BROTHEYER,BROTHEYER,,
751,WESTERLEY,WESTERLEY,,
752,BENSENVILLE,BENSENVILLE,"<[OK] Google - Geocode [Bensenville, IL, USA]>","[41.9550296, -87.94006569999999]"
753,HASTINGS COLORADO,"HASTINGS, COLORADO",,
754,PETERSBURG,PETERSBURG,"<[OK] Google - Geocode [Petersburg, VA, USA]>","[37.2279279, -77.40192669999999]"
755,NEW-YORK-CHICAGO,NEW-YORK-CHICAGO,,
756,"DETROIT, MI.","DETROIT, MI","<[OK] Google - Geocode [Detroit, MI, USA]>","[42.331427, -83.0457538]"
757,COSHONTON OHIO,"COSHONTON, OHIO","<[OK] Google - Geocode [Coshocton, OH 43812, USA]>","[40.2720151, -81.8595756]"
758,S.FRANCISCO C,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
759,S LOUIS MAS,S LOUIS MAS,,
760,INDIANAOPOLIS,"INDIANAPOLIS, IN","<[OK] Google - Geocode [Indianapolis, IN, USA]>","[39.768403, -86.158068]"
761,INDIANAPOLIS,"INDIANAPOLIS, IN","<[OK] Google - Geocode [Indianapolis, IN, USA]>","[39.768403, -86.158068]"
762,GERMANTOWN,GERMANTOWN,,
763,JOHUNSTON,JOHUNSTON,"<[OK] Google - Geocode [Johnston, IA, USA]>","[41.6709834, -93.7130493]"
764,PORT CHESTER NY,"PORT CHESTER, NY","<[OK] Google - Geocode [Port Chester, NY 10573, USA]>","[41.0017643, -73.66568339999999]"
765,HILLSVILLE-PA,"HILLSVILLE, PA","<[OK] Google - Geocode [Hillsville, PA 16116, USA]>","[41.0078378, -80.4967353]"
766,DALLAS TX.,"DALLAS, TX","<[OK] Google - Geocode [Dallas, TX, USA]>","[32.7766642, -96.79698789999999]"
767,M--ORT PA,M--ORT PA,"<[OK] Google - Geocode [Pennsylvania, USA]>","[41.2033216, -77.1945247]"
768,SPRING,SPRING,,
769,WATERFORD NY,"WATERFORD, NY","<[OK] Google - Geocode [Waterford, NY 12188, USA]>","[42.7925777, -73.6812293]"
770,NEW-ORELEANS,"NEW ORELEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
771,EAST-LIBERTY,EAST-LIBERTY,"<[OK] Google - Geocode [East Liberty, Pittsburgh, PA, USA]>","[40.4643479, -79.926266]"
772,NORWALK CT,"NORWALK, CT","<[OK] Google - Geocode [Norwalk, CT, USA]>","[41.11774399999999, -73.4081575]"
773,PILLSTON,PILLSTON,,
774,RALSTON PA,"RALSTON, PA","<[OK] Google - Geocode [Ralston, PA, USA]>","[41.506106, -76.95392149999999]"
775,NEW ORLEANS-LA,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
776,P CANADA,P CANADA,,
777,DENNISON-OH,"DENNISON, OH","<[OK] Google - Geocode [Dennison, OH 44621, USA]>","[40.3943489, -81.3230322]"
778,HAMMONTON NY,"HAMMONTON, NY","<[OK] Google - Geocode [977 12th St, Hammonton, NJ 08037, USA]>","[39.6108888, -74.8332274]"
779,CT,CT,"<[OK] Google - Geocode [Connecticut, USA]>","[41.6032207, -73.087749]"
780,MOSCOW,MOSCOW,,
781,CUMBERLAND,CUMBERLAND,,
782,JEFFERSON OH,"JEFFERSON, OH","<[OK] Google - Geocode [Jefferson, OH 44047, USA]>","[41.7386662, -80.7698066]"
783,NASTINGS-CO,"NASTINGS, CO","<[OK] Google - Geocode [Hastings Mesa, Colorado 81430, USA]>","[38.0583249, -107.968955]"
784,WILLIAMSPORT PA,"WILLIAMSPORT, PA","<[OK] Google - Geocode [Williamsport, PA, USA]>","[41.2411897, -77.00107860000001]"
785,BRODDOCH PA,"BRODDOCH, PA","<[OK] Google - Geocode [Braddock, PA 15104, USA]>","[40.4034024, -79.8683824]"
786,"S,FRANCISCO CA","SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
787,BANGOR,BANGOR,"<[OK] Google - Geocode [Bangor, ME 04401, USA]>","[44.8016128, -68.7712257]"
788,NEW OYRK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
789,"ATLANTIC CITY, NJ","ATLANTIC CITY, NJ","<[OK] Google - Geocode [Atlantic City, NJ, USA]>","[39.3642834, -74.4229266]"
790,BOSTON-PA,"BOSTON, MA","<[OK] Google - Geocode [Boston, MA, USA]>","[42.3600825, -71.0588801]"
791,MONUT--,MONUT--,,
792,RALSTN,RALSTN,"<[OK] Google - Geocode [Ralston, NE 68127, USA]>","[41.2002566, -96.031987]"
793,BRUNSWICK,BRUNSWICK,,
794,NEW-JERS,NEW JERSEY,"<[OK] Google - Geocode [New Jersey, USA]>","[40.0583238, -74.4056612]"
795,WILLFORT,WILLFORT,,
796,HAMILTON,HAMILTON,,
797,OMAHA,"OMAHA, NE","<[OK] Google - Geocode [Omaha, NE, USA]>","[41.2565369, -95.9345034]"
798,S-FRANCISCO,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
799,BROOKLN-N,"BROOKLN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
800,GLOVERSVILLE,GLOVERSVILLE,"<[OK] Google - Geocode [Gloversville, NY, USA]>","[43.0528506, -74.3437467]"
801,ORANGE VALLEY NJ,"ORANGE VALLEY, NJ","<[OK] Google - Geocode [606 Freeman St, City of Orange, NJ 07050, USA]>","[40.76719, -74.24695849999999]"
802,SAN-JOSEPH,SAN-JOSEPH,,
803,KUISLAND OH,"KUISLAND, OH",,
804,GREENSBURGH-PA,"GREENSBURGH, PA","<[OK] Google - Geocode [Greensburg, PA 15601, USA]>","[40.3014581, -79.5389289]"
805,GRANSBURG-PA,"GRANSBURG, PA","<[OK] Google - Geocode [Greensburg, PA 15601, USA]>","[40.3014581, -79.5389289]"
806,ELEANOR PA,"ELEANOR, PA","<[OK] Google - Geocode [185 Walton Dr, Morrisville, PA 19067, USA]>","[40.2006537, -74.8265371]"
807,MILWAUKEE-WI,"MILWAUKEE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","[43.0389025, -87.9064736]"
808,ROCHESTER PA,"ROCHESTER, PA","<[OK] Google - Geocode [Rochester, PA, USA]>","[40.7022882, -80.28645089999999]"
809,BRISTOL PA,"BRISTOL, PA","<[OK] Google - Geocode [Bristol, PA 19007, USA]>","[40.1006661, -74.8518311]"
810,GEFFERSON,GEFFERSON,,
811,MIDDLETON-CT,"MIDDLETON, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","[41.5623209, -72.6506488]"
812,FRANKLIN IL,"FRANKLIN, IL","<[OK] Google - Geocode [Franklin, IL 62638, USA]>","[39.6203259, -90.04400009999999]"
813,MOSCON,MOSCON,,
814,CRESHAW PA,"CRESHAW, PA","<[OK] Google - Geocode [Crenshaw, PA 15824, USA]>","[41.248211, -78.758499]"
815,PITTSBURGH PA,"PITTSBURGH, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","[40.44062479999999, -79.9958864]"
816,RENO NEVADA,"RENO, NEVADA","<[OK] Google - Geocode [Reno, NV, USA]>","[39.5296329, -119.8138027]"
817,BRADDOCK PA,"BRADDOCK, PA","<[OK] Google - Geocode [Braddock, PA 15104, USA]>","[40.4034024, -79.8683824]"
818,RI,RI,"<[OK] Google - Geocode [Rhode Island, USA]>","[41.5800945, -71.4774291]"
819,TORONTO CAN,"TORONTO, CAN","<[OK] Google - Geocode [Toronto, ON, Canada]>","[43.653226, -79.3831843]"
820,NIAGARA,NIAGARA,"<[OK] Google - Geocode [Niagara Falls, NY 14303, United States]>","[43.0828162, -79.07416289999999]"
821,AMOS-VILLE,AMOS-VILLE,,
822,BALTIMORE M,"BALTIMORE, MD","<[OK] Google - Geocode [Baltimore, MD, USA]>","[39.2903848, -76.6121893]"
823,DELONGER-PA,"DELONGER, PA",,
824,WELLSVILLE IL,"WELLSVILLE, IL",,
825,MONTREAL CANADA,"MONTREAL, CANADA","<[OK] Google - Geocode [Montreal, QC, Canada]>","[45.5016889, -73.567256]"
826,DELANGEN,DELANGEN,,
827,HOUSTON-FL,"HOUSTON, FL","<[OK] Google - Geocode [Houston, FL 32060, USA]>","[30.25689259999999, -82.9026289]"
828,BRAIDWOOD IL,"BRAIDWOOD, IL","<[OK] Google - Geocode [Braidwood, IL, USA]>","[41.2650318, -88.21228230000001]"
829,WESTERL--,WESTERL--,,
830,LANDING PA,"LANDING, PA","<[OK] Google - Geocode [Rices Landing, PA, USA]>","[39.9453527, -79.9956095]"
831,GINSTOWN,GINSTOWN,,
832,S.PETERSBURG,S.PETERSBURG,,
833,IOTENSTON PA,"IOTENSTON, PA",,
834,HAMILTON ONT,"HAMILTON, ONT","<[OK] Google - Geocode [Hamilton, ON, Canada]>","[43.2557206, -79.8711024]"
835,NORRISTON-MA,"NORRISTON, MA",,
836,ELISABETH PORT VA,"ELISABETH PORT, VA",,
837,KINGSTON NY,"KINGSTON, NY","<[OK] Google - Geocode [Kingston, NY 12401, USA]>","[41.9270367, -73.9973608]"
838,WELLAND,WELLAND,"<[OK] Google - Geocode [Welland, ON, Canada]>","[42.9921579, -79.2482555]"
839,WICKSBURG MS,"WICKSBURG, MS","<[OK] Google - Geocode [Vicksburg, MS, USA]>","[32.3526456, -90.877882]"
840,WORCESTER,WORCESTER,"<[OK] Google - Geocode [Worcester, MA, USA]>","[42.2625932, -71.8022934]"
841,WHITNEY PA,"WHITNEY, PA","<[OK] Google - Geocode [Whitney, PA 15650, USA]>","[40.2544426, -79.4100838]"
842,HAZELTON-CT,"HAZELTON, CT",,
843,WASHINGTON DC,"WASHINGTON, DC","<[OK] Google - Geocode [Washington, DC, USA]>","[38.9071923, -77.0368707]"
844,USA-DIED,USA,<[OK] Google - Geocode [United States]>,"[37.09024, -95.712891]"
845,N.ORLEANS-DIED,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
846,HORATIO-PA,"HORATIO, PA","<[OK] Google - Geocode [Horatio, Young Township, PA 15767, USA]>","[40.9292311, -79.01558969999999]"
847,ONEIDA NY,"ONEIDA, NY","<[OK] Google - Geocode [Oneida, NY, USA]>","[43.0925684, -75.65129309999999]"
848,MCKEESPORT PA,"MCKEESPORT, PA","<[OK] Google - Geocode [McKeesport, PA, USA]>","[40.3470671, -79.8641232]"
849,HOMESTEAD,HOMESTEAD,,
850,BROCKWAY PA,"BROCKWAY, PA","<[OK] Google - Geocode [Brockway, PA 15824, USA]>","[41.2492279, -78.7994738]"
851,CLINTON MAS,"CLINTON, MA","<[OK] Google - Geocode [Clinton, MA, USA]>","[42.41676349999999, -71.68290809999999]"
852,BUFFALO  NY,"BUFFALO, NY","<[OK] Google - Geocode [Buffalo, NY, USA]>","[42.88644679999999, -78.8783689]"
853,LOWELLVILLE OH,"LOWELLVILLE, OH","<[OK] Google - Geocode [Lowellville, OH 44436, USA]>","[41.0353371, -80.53645929999999]"
854,READING PA,"READING, PA","<[OK] Google - Geocode [Reading, PA, USA]>","[40.3356483, -75.9268747]"
855,REC -POR,REC -POR,,
856,MONTEMAGGIORE,MONTEMAGGIORE,,
857,LANGSTON PA,"LANGSTON, PA",,
858,NEWE YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
859,FLOWERTOWN,FLOWERTOWN,,
860,ROCKSPRINGS TX,"ROCKSPRINGS, TX","<[OK] Google - Geocode [Rocksprings, TX 78880, USA]>","[30.0157647, -100.2053582]"
861,VICKSBERG-MN,"VICKSBERG, MN",,
862,USA DIED,USA,<[OK] Google - Geocode [United States]>,"[37.09024, -95.712891]"
863,MC KREES,MC KREES,,
864,APARACHICO CL,APARACHICO CL,,
865,CAMPO DI FANO,CAMPO DI FANO,,
866,SAN JOSE-CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
867,SAN JOSE -CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
868,REGGIO-DI-CALABRIA,REGGIO-DI-CALABRIA,,
869,TRINITA-CO,"TRINITA, CO",,
870,S.DOMINGO,S.DOMINGO,,
871,BOSTON MASS,"BOSTON, MA","<[OK] Google - Geocode [Boston, MA, USA]>","[42.3600825, -71.0588801]"
872,ERIE OH,"ERIE, OH","<[OK] Google - Geocode [Erie County, OH, USA]>","[41.4349882, -82.4752757]"
873,LOOMSTON PA,"LOOMSTON, PA",,
874,BELLETORRE LA,"BELLETORRE, LA","<[OK] Google - Geocode [Los Angeles, CA, USA]>","[34.0522342, -118.2436849]"
875,NORTAN,NORTAN,,
876,MEMPHIS TN,"MEMPHIS, TN","<[OK] Google - Geocode [Memphis, TN, USA]>","[35.1495343, -90.0489801]"
877,WHITE-CASTLE,WHITE-CASTLE,,
878,LEROY NY,"LEROY, NY","<[OK] Google - Geocode [Le Roy, NY 14482, USA]>","[42.9783944, -77.9841776]"
879,MEEKSFORT,MEEKSFORT,,
880,"MORRIS,","MORRIS,",,
881,DIED-TRANSIT HOSPITA,DIED-TRANSIT HOSPITA,,
882,CANEGIE PA,"CANEGIE, PA","<[OK] Google - Geocode [Carnegie, PA 15106, USA]>","[40.4086802, -80.0833885]"
883,AUSONIA-CT,"AUSONIA, CT","<[OK] Google - Geocode [Ansonia, CT, USA]>","[41.34620779999999, -73.07899689999999]"
884,MILFARE-MI,"MILFARE,MI",,
885,SO BATHLIHAN PA,"SO BATHLIHAN, PA",,
886,SPRINGFIELD-IL,"SPRINGFIELD, IL","<[OK] Google - Geocode [Springfield, IL, USA]>","[39.78172130000001, -89.6501481]"
887,HAMSTERDAM,HAMSTERDAM,,
888,WATERLO NY,"WATERLO, NY","<[OK] Google - Geocode [Waterloo, NY 13165, USA]>","[42.9047884, -76.8627367]"
889,GLASGOW,GLASGOW,,
890,WALSTON-PA,"WALSTON, PA","<[OK] Google - Geocode [Walston, PA 15781, USA]>","[40.9650644, -78.9947562]"
891,BRISTOL RI,"BRISTOL, RI","<[OK] Google - Geocode [Bristol, RI 02809, USA]>","[41.6771101, -71.26620249999999]"
892,DELONGER,DELONGER,,
893,LAS VEGAS CA,"LAS VEGAS, CA","<[OK] Google - Geocode [Las Vegas, NV, USA]>","[36.1699412, -115.1398296]"
894,MORRISTO,MORRISTO,"<[OK] Google - Geocode [Morristown, NJ 07960, USA]>","[40.79676670000001, -74.4815438]"
895,CANDESPORT PA,"CANDESPORT, PA",,
896,MC KEESPORT PA,"MC KEESPORT, PA","<[OK] Google - Geocode [McKeesport, PA, USA]>","[40.3470671, -79.8641232]"
897,BELLIGE PA,"BELLIGE, PA",,
898,WESTERLEY-PA,"WESTERLEY, PA",,
899,PLYMOUTH CENTRE - MA,"PLYMOUTH CENTRE, MA",,
900,ALDFORGE,ALDFORGE,,
901,FAYATE CITY PA,"FAYATE CITY, PA","<[OK] Google - Geocode [Fayette City, PA, USA]>","[40.1003509, -79.84060099999999]"
902,VINELAND-NJ,"VINELAND, NJ","<[OK] Google - Geocode [Vineland, NJ, USA]>","[39.4863773, -75.02596369999999]"
903,BROOKLYN-NJ,"BROOKLYN, NJ","<[OK] Google - Geocode [New Brooklyn, Monroe Township, NJ 08094, USA]>","[39.69317119999999, -74.9426662]"
904,BROOOKLYN,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
905,B--,B--,,
906,HOMESTEA,HOMESTEA,,
907,HOMOSTEA,HOMOSTEA,,
908,CLEVELAND OK,"CLEVELAND, OK","<[OK] Google - Geocode [Cleveland, OK 74020, USA]>","[36.3100688, -96.4641886]"
909,S ANTONIO,"SAN ANTONIO, TX","<[OK] Google - Geocode [San Antonio, TX, USA]>","[29.4241219, -98.49362819999999]"
910,MIDDEKEAN,MIDDEKEAN,,
911,AMATRA,AMATRA,,
912,PORT-CHESTER,PORT-CHESTER,"<[OK] Google - Geocode [Port Chester, NY 10573, USA]>","[41.0017643, -73.66568339999999]"
913,MILFORD PA,"MILFORD, PA","<[OK] Google - Geocode [Milford, PA 18337, USA]>","[41.322316, -74.8023882]"
914,BRADFORD-CT,"BRADFORD, CT","<[OK] Google - Geocode [Branford, CT, USA]>","[41.2799027, -72.81411849999999]"
915,SUSPENSION BRIDGE NY,"SUSPENSION BRIDGE, NY",,
916,MOUNT-,MOUNT-,,
917,MIDLETON CT,"MIDLETON, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","[41.5623209, -72.6506488]"
918,ST.LOUIS-MA,"ST.LOUIS, MA",,
919,NEW  ORLEANS LA,"NEW  ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
920,WATERBURG CT,"WATERBURG, CT","<[OK] Google - Geocode [Waterbury, CT, USA]>","[41.5581525, -73.0514965]"
921,SCIACCA,SCIACCA,,
922,PROVIDENCE MA,"PROVIDENCE, MA","<[OK] Google - Geocode [Providence, RI, USA]>","[41.8239891, -71.4128343]"
923,MT MORRIS,MT MORRIS,"<[OK] Google - Geocode [Mt Morris, MI 48458, USA]>","[43.1186374, -83.6949583]"
924,PENSACOLA-FL,"PENSACOLA, FL","<[OK] Google - Geocode [Pensacola, FL, USA]>","[30.42130899999999, -87.2169149]"
925,SMITHON PA,"SMITHON, PA","<[OK] Google - Geocode [Smithton, PA, USA]>","[40.1539613, -79.7411535]"
926,NAPOLEONVILL,NAPOLEONVILL,"<[OK] Google - Geocode [Napoleonville, LA 70390, USA]>","[29.9382674, -91.0274993]"
927,JOHNNSTOWN PA,"JOHNNSTOWN, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
928,BROOKLYNG,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
929,NEW ARK,NEW ARK,"<[OK] Google - Geocode [Newark, NJ, USA]>","[40.735657, -74.1723667]"
930,MADISON NJ,"MADISON, NJ","<[OK] Google - Geocode [Madison, NJ 07940, USA]>","[40.7598227, -74.417097]"
931,OKLAHOMA CITY OK.,"OKLAHOMA CITY, OK","<[OK] Google - Geocode [Oklahoma City, OK, USA]>","[35.4675602, -97.5164276]"
932,ST.JOHN,ST.JOHN,,
933,CLEVELAND OH.,"CLEVELAND, OH","<[OK] Google - Geocode [Cleveland, OH, USA]>","[41.49932, -81.6943605]"
934,MERIDEN-CT,"MERIDEN, CT","<[OK] Google - Geocode [Meriden, CT, USA]>","[41.5381535, -72.80704349999999]"
935,ST.PAUL-MN,"ST.PAUL, MN","<[OK] Google - Geocode [St Paul, MN, USA]>","[44.9537029, -93.0899578]"
